Round No;Policy;Reward;Epsilon;Threshold Confidence;Threshold Correct Prediction;Max Length Cyclic;Max Length Acyclic;Single Relations;Measure
1;2;5;0.1;1.0E-4;2;3;1;no;1.0
2;1;1;0.96081905621168694;0.0484483408187471;13;5;2;yes;1.0
3;2;1;0.0730947078216102;0.00041637365390474;12;3;3;no;1.0
4;2;1;0.8138026087829975;0.13801821458934552;4;7;3;yes;1.0
5;2;5;0.5711187514194475;0.20712125811210907;10;5;3;no;1.0
6;2;5;0.34725727387305994;0.04994060590219635;11;5;1;no;1.0
7;1;3;0.8849781647002317;0.2194949613510773;12;7;1;no;1.0
8;2;5;0.016844824417783233;0.044844839040441106;4;7;1;no;1.0
9;2;3;0.19280537336545034;0.0321938105934353;6;5;2;no;1.0
10;2;1;0.1445536032045196;0.22156284556911915;2;5;1;no;1.0
11;2;1;0.4718260393418101;0.03127515520162857;14;3;3;yes;1.0
12;2;5;0.18579125746794;0.09765650154549278;1;7;2;no;1.0
13;1;5;0.4946877054322406;0.09257343570609186;15;7;1;no;1.0
14;1;3;0.3668663748089368;0.07597947465378756;3;5;3;yes;1.0
15;2;1;0.6563945063217274;0.11606654842983699;12;3;2;no;1.0
16;2;3;0.8263764574145482;0.18437685017310299;8;3;2;yes;1.0
17;2;3;0.5551483408187471;0.008307431951168991;11;5;2;yes;1.0
18;2;3;0.7605021377213563;0.1383874888414004;4;5;3;yes;1.0
19;2;1;0.8270961402538545;0.16288596704361744;3;5;1;no;1.0
20;2;5;0.07220750886248839;0.2769641724930598;4;5;3;yes;1.0
21;1;5;0.7349834043987752;0.18899615209638895;14;7;2;yes;1.0
22;2;5;0.024346934976672285;0.22131653523490613;8;3;1;no;1.0
23;1;5;0.01071407196123031;0.23796352495904438;3;3;3;no;1.0
24;1;3;0.3966779464985717;0.20671177792560505;15;3;1;yes;1.0
25;1;1;0.45181655429213785;0.2778878692070957;15;3;3;no;1.0
26;1;3;0.646780391793758;0.1373981056107372;1;7;2;yes;1.0
27;2;3;0.7718160291627405;0.1663062294146185;12;5;1;no;1.0
28;1;1;0.5748819419958636;0.11452600637383376;2;3;1;no;1.0
29;2;1;0.2045130318645605;0.0708911035630001;7;3;2;yes;1.0
30;1;1;0.9925897478802425;0.18714224867289111;1;7;2;no;1.0
31;1;1;0.3621683212804421;0.18821905621168694;4;7;1;no;1.0
32;1;1;0.8955283456316855;0.07623167092065355;14;5;1;no;1.0
33;1;3;0.8475938048598428;0.21059444175207673;5;7;1;no;1.0
34;1;5;0.6398839083637372;0.2217617744841632;6;3;1;yes;1.0
35;1;3;0.12014999188495157;0.19087353501281265;15;5;1;yes;1.0
36;2;1;0.6228546571251006;0.10286501952409095;14;5;2;no;1.0
37;2;5;0.11564950564105547;0.2553738658224085;15;5;1;no;1.0
38;1;5;0.967007558052999;0.28094398236592566;2;3;3;no;1.0
39;2;3;0.12016685565683338;0.2148338402278928;14;5;3;yes;1.0
40;1;1;0.7085412386182697;0.21596419783014772;2;5;3;yes;1.0
41;2;1;0.39775459667444335;0.12338762378337607;2;7;2;no;1.0
42;1;1;0.9894551751162544;0.10565984521346289;12;5;1;no;1.0
43;1;3;0.07206555397444081;0.1356103472562319;10;5;1;no;1.0
44;1;3;0.7536251886563886;0.2978671862820109;13;7;2;no;1.0
45;2;3;0.7618814205293308;0.1116185207608082;7;5;1;yes;1.0
46;2;3;0.4467850931882976;0.22592074410104956;6;3;3;yes;1.0
47;1;5;0.47054758442472333;0.020190756899155324;15;3;3;no;1.0
48;2;5;0.22041463712543086;0.017007296459404072;2;5;2;no;1.0
49;2;5;0.22931417909751073;0.08994377832267249;10;3;2;yes;1.0
50;2;1;0.13953364170868576;0.12363264142178775;1;7;1;yes;1.0
51;2;5;0.9945834234462931;0.258578658307382;1;3;2;yes;1.0
52;1;1;0.8944025670780215;0.028166101482498575;6;7;3;yes;1.0
53;2;3;0.299063125154181;0.2701523636309202;12;3;2;yes;1.0
54;2;1;0.5161290813689663;0.0703278356085822;6;7;2;yes;1.0
55;1;1;0.15682654838965193;0.2703795930459462;7;5;3;yes;1.0
56;2;5;0.5961810575171146;0.24782389882476957;6;7;2;yes;1.0
57;1;3;0.7222785043244297;0.250019824181081;4;5;3;yes;1.0
58;1;5;0.5098057668026136;0.03999411862827949;1;3;1;yes;1.0
59;2;5;0.20302755270967643;0.2862846917998596;3;7;2;no;1.0
60;1;1;0.1433552765852213;0.004447678713601711;14;5;2;yes;1.0
61;2;5;0.5266646795889472;0.2323106102488083;14;5;1;yes;1.0
62;1;5;0.6255181639886439;0.1968515418781417;8;5;3;yes;1.0
63;2;3;0.26144808606945924;0.20465170044233863;14;7;1;yes;1.0
64;1;3;0.5624574933800891;0.0637165847080455;10;5;2;no;1.0
65;1;5;0.29089422971270396;0.21884792974537107;9;3;2;yes;1.0
66;2;1;0.276854945886326;0.258166571444886;9;5;2;no;1.0
67;1;5;0.7422751110938253;0.02303360556496822;7;5;1;no;1.0
68;2;3;0.5508612574084443;0.22889485304312726;7;7;3;no;1.0
69;1;3;0.6690219023873079;0.17955106842909999;9;5;2;no;1.0
70;1;5;0.3729530023882155;0.13202383835546047;5;7;3;no;1.0
71;2;1;0.987034746615625;0.04471469407242433;10;5;1;yes;1.0
72;2;1;0.1886953880499297;0.016102288853303198;4;7;3;no;1.0
73;2;3;0.16489877971490807;0.2964702022939848;12;3;3;yes;1.0
74;1;1;0.15541155830660758;0.03011531842218024;15;5;1;no;1.0
75;1;3;0.1680064871763477;0.2602741585967403;7;7;3;yes;1.0
76;2;1;0.9007580124498159;0.004562230102865758;5;7;2;yes;1.0
77;2;1;0.1565862835046169;0.08285880047980897;11;3;2;yes;1.0
