Round No;Policy;Reward;Epsilon;Threshold Confidence;Threshold Correct Prediction;Max Length Cyclic;Max Length Acyclic;Single Relations;Measure
1;2;5;0.1;1.0E-4;2;3;1;no;0.9701630909336171
2;1;5;0.6467789736357613;0.22806442763092125;1;3;2;yes;0.9416442012033694
3;1;3;0.7255064686625466;0.23892823839983288;7;3;2;no;0.9611277653500051
4;2;5;0.9677079477513629;0.2624204405231635;4;5;1;yes;0.9666577458381588
5;2;1;0.35795733665231566;0.044550075447210714;8;5;2;no;0.9654732717998942
6;1;3;0.9262804896303196;0.10813838492734335;13;3;2;no;0.9414438085071182
7;2;5;0.5943481685131584;0.01851912622938794;3;7;1;no;0.9583448236498233
8;1;3;0.7014006649816662;0.2965990881968421;14;5;3;no;0.961389884908555
9;1;3;0.23086057303569174;0.24563089965724091;3;7;2;no;0.9525590929931803
10;2;1;0.7255127159977515;0.035693915591283314;4;3;2;no;0.967524565782679
11;1;5;0.5144857145471408;0.11980467252000411;1;5;2;no;0.9481345823634952
12;2;5;0.4693654815184716;0.16775957000167888;14;7;3;no;0.9549413601466309
13;2;1;0.07287703325077621;0.22389235630150772;10;5;2;yes;0.966762092860165
14;1;3;0.3644974566359649;0.09900356784586456;4;3;3;yes;0.951701749452845
15;1;5;0.5040445823950737;0.03126337388587183;4;5;1;no;0.9630095157396178
16;1;3;0.6744627539038446;0.036258033556183324;11;7;1;no;0.9448815356256463
17;1;5;0.6181267048563716;0.07109746594713814;3;3;2;no;0.9435340051167528
18;2;1;0.3997629890548503;0.135234857482068;4;3;2;no;0.9640018054218938
19;1;3;0.7729409643141676;0.04852000582181338;4;3;2;yes;0.9443169382099751
20;2;5;0.45728259024490103;0.0932658095913192;2;5;3;no;0.9542632991830453
21;1;5;0.16280615219944283;0.1328628635119206;12;5;1;yes;0.953869282281574
22;1;1;0.837565623306986;1,87E+11;4;3;2;no;0.944589885973056
23;1;5;0.2915902560979975;0.013043114234076433;4;5;1;yes;0.9502383757867957
