Round No;Policy;Reward;Epsilon;Threshold Confidence;Threshold Correct Prediction;Max Length Cyclic;Max Length Acyclic;Single Relations;Measure
1;2;5;0.1;1.0E-4;2;3;1;no;0.900234521575985
2;1;3;0.17797706405927582;0.10387823050291839;5;5;2;no;0.8520871299188763
3;2;5;0.10034610590356274;0.1263725764928763;11;7;1;no;0.8889628378890904
4;1;5;0.472099064595932;0.038145013469713974;6;7;2;no;0.8998568923636402
5;1;3;0.7868610463717011;0.0751529753570225;3;5;1;yes;0.8715586131323806
6;1;1;0.7947539843283917;0.03213557809573465;5;7;1;yes;0.8842090240625402
7;2;5;0.18581092336853022;0.11998198483301985;15;7;1;no;0.8864049248349497
8;2;3;0.4208277711098579;0.09119933956451422;11;7;2;yes;0.900234521575985
9;1;5;0.25582928068156674;0.07797713432288794;8;7;1;no;0.897833158096028
10;1;3;0.5656181163782981;0.10932050573309472;5;3;3;yes;0.8784084071167337
11;1;5;0.9108065217425666;0.14826939941227188;12;7;3;no;0.893281746171382
12;2;1;0.8952563254003788;0.07325899607234636;7;3;2;no;0.8420511881765764
13;2;3;0.8724610833771859;0.05859607731862832;8;3;3;no;0.8501053154326278
14;2;3;0.6973454458570929;0.009993762443828309;9;5;3;yes;0.8485257855388971
15;1;5;0.912100068798383;0.09676777502228003;12;3;3;no;0.8308811612480951
16;1;3;0.4539446253614653;0.04015766559371449;7;7;2;yes;0.8372604130368799
17;2;5;0.6577376952157491;0.12399941511838429;7;7;3;yes;0.8587838594112229
18;2;3;0.81351284061772446;0.09169976279407915;10;3;2;no;0.900234521575985
19;1;3;0.7065259583251294;0.013399930685669201;4;7;2;yes;0.8630900402053776
20;1;3;0.5051812842252144;0.044198153086281486;1;5;3;no;0.8185197561686576
21;1;3;0.44834907104781563;0.04202590759005297;5;5;2;no;0.8344303774126888
22;1;5;0.18710988482154656;0.07494978692636724;10;7;1;no;0.811477119397718
23;2;1;0.7754189479114875;0.1689968074596604;6;3;1;no;0.8453410282656805
24;1;5;0.962009307906846;0.05916853351302411;12;5;3;yes;0.8263624054114536
25;1;3;0.6163850607231313;0.19078126168445758;14;3;1;no;0.8282823329902873
26;1;1;0.915336328573601;0.09898793533051892;12;7;2;yes;0.8861777137198565
27;1;5;0.024063458250391134;0.04331349052698547;4;7;3;no;0.8324239360780286
28;1;3;0.24393498887051634;0.2076917626344648;3;5;2;yes;0.8291303851059929
29;2;3;0.7862507568058773;0.2886012155082976;10;3;2;yes;0.8100615812482308
30;2;1;0.3949145012033656;0.24131308726060546;9;3;3;yes;0.8635044760568329
31;1;3;0.2826935352665346;0.230681483267875;6;5;2;yes;0.8668856010484359
32;1;3;0.01786584636659283;0.2474062751629183;12;7;1;yes;0.8136968149324354
33;1;5;0.5322342711338736;0.055871145458037244;1;3;3;no;0.8384026377919072
34;1;1;0.5672849608088965;0.25740975870068866;14;7;2;no;0.8948167687161356
35;1;3;0.15717947083761874;0.12025678618039928;12;7;1;yes;0.8348926468898303
36;1;1;0.05708401032184507;0.12634640158143975;12;3;2;no;0.8246173771814626
37;1;3;0.8223831470281311;0.15034374980443876;2;7;2;no;0.8249199625969271
38;2;3;0.7425430787036896;0.2643300406795567;6;7;1;no;0.8671130870155733
39;2;5;0.7103884666449757;1,20E+11;9;3;1;yes;0.8580009229767177
40;2;5;0.17702550173788134;0.144787633734952;1;3;2;yes;0.8258609788646067
41;1;5;0.7878210315872249;0.19215901200993754;2;5;1;yes;0.900234521575985
42;1;1;0.46691290344432024;0.29231806574609237;5;5;2;no;0.8305115763405015
43;1;3;0.15930876870800115;0.16422358255530892;6;5;2;yes;0.840263464288691
44;2;3;0.6998004949953428;0.24545679626432354;2;3;2;no;0.8153560613696991
45;1;5;0.24136341451963694;0.05334531304934575;12;3;3;no;0.863023934760221
46;1;1;0.5349439307833169;0.04241690831716919;11;5;2;no;0.8663512222184035
47;1;3;0.008377594389223364;0.1643911230471947;9;7;3;no;0.8147156681706839
48;2;5;0.17380337336100926;0.1479770536904565;5;7;1;no;0.8510443740540584
49;1;3;0.24526768298145052;0.23018751677061033;15;7;3;yes;0.8785262321259766
50;2;5;0.2404555632265598;0.22272647025346404;2;5;2;yes;0.8678588704958616
51;1;3;0.8060553330909481;0.14758689389479854;6;3;3;yes;0.8977019713105059
52;2;5;0.1304253258391881;0.04690218689515959;3;7;2;yes;0.8931579612854166
53;2;1;0.9351790568441428;0.044387113757345255;1;7;2;no;0.8650381686963508
54;2;1;0.7815428076568551;0.1568089272992403;11;3;1;no;0.8174606909426574
55;1;5;0.009539736029562484;0.1511705200763454;3;7;1;yes;0.8857526104185028
56;1;1;0.4967969028381709;0.20553388222649968;7;7;1;no;0.8192279442893174
57;1;3;0.7458111093920571;0.23069058998687117;2;7;3;yes;0.8166390724587891
58;2;1;0.8374960853895579;0.23725615301951217;7;5;1;yes;0.900234521575985
59;1;5;0.27161540086959346;0.29533904348132367;8;7;3;no;0.8489822109394658
60;2;1;0.9016510402571822;0.2997994086969122;4;3;3;no;0.8140951906560384
61;2;1;0.1536252349614442;0.06559594509480988;5;5;3;yes;0.8509195805993863
62;1;1;0.7192770070813516;0.03738096213169761;12;5;2;no;0.8277446536929743
63;2;1;0.8239855950102755;0.1131777144496633;9;3;3;no;0.8870636955398984
64;2;5;0.5108122273235917;0.09798604188846431;13;7;3;yes;0.8553232106074299
65;2;3;0.05275108435447051;0.07181279592862296;11;5;1;yes;0.851335410465756
66;1;3;0.1602310272532207;0.09215125263906125;4;7;2;yes;0.8636805558454578
67;2;1;0.5230349297101373;0.09403228304389795;15;7;1;no;0.8917316512661703
68;2;3;0.20948060520257228;0.20314146100590982;4;3;3;no;0.8875126807695415
69;1;1;0.9126155978764486;0.2989894303575656;15;7;3;yes;0.851862776406883
70;1;5;0.7600068908016626;0.018103006062370006;9;5;2;no;0.8572488532435939
71;2;1;0.5468225215041983;0.08602011910875168;13;5;1;no;0.8638886126665437
72;1;3;0.9103944620440323;0.23528757319034366;9;7;2;no;0.8556847576492084
73;1;5;0.9292252816221523;0.13020034519736606;6;3;1;yes;0.8118831258900433
74;2;3;0.32219189557221006;0.15896454240043997;2;5;1;yes;0.8584457441057075
75;1;5;0.6862080244670172;0.20733033898638906;3;7;3;yes;0.8677257978662279
76;1;3;0.5101183770329217;0.08998776963810236;1;3;3;yes;0.8877368324976948
77;1;5;0.4767730815438991;0.2977498976905887;13;5;1;yes;0.8322972921820982
78;1;5;0.834961176152895;0.12104090848138156;9;3;1;yes;0.8448023558325832
79;2;3;0.6583628611582142;0.15486224184717234;11;3;3;yes;0.857226668859074
