Round No;Policy;Reward;Epsilon;Threshold Confidence;Threshold Correct Prediction;Max Length Cyclic;Max Length Acyclic;Single Relations;Measure
1;2;5;0.1;1.0E-4;2;3;1;no;0.8665626680674074
2;2;5;0.870635072151551;0.2700182318790875;9;7;1;no;0.8332035979669467
3;2;5;0.7238043323221822;0.19162983966537203;7;5;2;no;0.8336308698522449
4;1;3;0.24246916457246892;0.12769974289515043;2;5;3;yes;0.8364838881870083
5;2;1;0.017732911865399048;0.18243322214618496;3;7;2;no;0.8234049001720338
6;1;5;0.15235060197585082;0.14159504315838015;15;7;1;no;0.8439911162757696
7;2;1;0.8785717744807325;0.030828760428809335;7;3;2;yes;0.8341766879761163
8;1;1;0.5756041887854951;0.2165858525894975;10;7;3;no;0.8128277217863363
9;2;1;0.7572599353326959;0.2750870628698527;4;3;3;yes;0.8456439497216067
10;1;1;0.24470904284877204;0.22617508449264456;7;3;2;no;0.8450292916955109
11;2;1;0.48800435388525054;0.07395307994853403;6;3;2;yes;0.8197114063983783
12;2;3;0.22997252683503022;0.07885627668451327;7;3;3;yes;0.813828043818058
13;2;3;0.6670907234181161;0.20356075371134846;9;5;3;yes;0.8362355403747279
14;1;3;0.4077021790448979;0.09189647868063504;12;3;1;yes;0.8251805352147811
15;2;1;0.9854796241709386;0.18393249877224174;4;5;2;yes;0.8276488202332288
16;1;5;0.9938917061058331;0.14709557703006154;3;3;2;yes;0.8456454701628328
17;1;5;0.8064649768921299;0.2608035616835723;6;5;3;no;0.8215923599067982
18;1;1;0.8168953228806447;0.12057960287574493;12;5;2;yes;0.8361043006285441
19;1;1;0.5177129973293754;0.18285627723634754;2;5;3;yes;0.8224509009579462
20;2;5;0.7217141650164018;0.03967928245219664;15;3;3;no;0.8225374908011631
21;1;5;0.5730508032764086;0.16191777857859666;9;5;2;yes;0.8168475526437908
22;1;5;0.32515246375372786;0.21333131981472112;5;3;2;no;0.8111459578323117
23;1;3;0.5337871335189147;0.13717263110045422;6;7;2;yes;0.8377125558309808
24;2;3;0.1746316452273804;0.19006202352998958;2;3;1;no;0.8361491977939584
25;2;1;0.3230986296911088;0.2134398039763936;12;7;3;no;0.8338758812940151
26;2;3;0.3689166269133958;0.06789275618388227;8;3;3;yes;0.8118232626883846
27;2;5;0.7117066544138246;0.1944345387574818;6;5;3;yes;0.8262736430413646
28;1;5;0.5570753735087194;0.10497314194420224;15;5;3;no;0.820653178827886
29;2;5;0.01972773563512686;0.27592262666514916;4;5;2;no;0.8541110906915556
30;2;3;0.38894881629605915;0.06566243027652101;12;5;1;yes;0.8252712390979959
31;2;3;0.783055615880842;0.2532080057522152;8;7;2;yes;0.8130339585887373
32;1;3;0.40816617858383986;0.2850347823635902;1;5;2;yes;0.832706142711165
33;1;1;0.05240492213446857;0.2873090035158145;2;5;1;yes;0.8481843905708746
34;1;5;0.7848433252513587;0.21292281419986026;8;7;3;yes;0.8443650844459134
35;2;1;0.06731161692339394;0.003511942674309927;1;3;2;yes;0.814282257738878
36;1;3;0.42270815666562245;0.015542016773589611;7;5;1;yes;0.8341642506475353
37;2;5;0.9186760524922029;0.17560989315606332;2;5;2;no;0.8481432132634378
38;2;3;0.8533008508432218;0.196528811654927;9;3;2;yes;0.8236807484567823
39;1;1;0.809597360777233;0.21528415349043523;7;3;3;no;0.8474169794967624
40;2;1;0.9725084858361821;0.06768906179459465;9;5;3;yes;0.8204547840628498
41;1;3;0.31926332624562226;0.13336573388592363;11;7;3;no;0.8305001130341545
42;1;5;0.3720555446795518;0.23972253544019784;9;3;2;yes;0.8287741224120764
43;1;5;0.7291262667477518;0.2770756773820149;5;7;2;yes;0.8175341957328331
44;1;5;0.5763443448884843;0.043649485174254175;6;3;1;no;0.8136387038232427
45;1;3;0.43774211062084456;0.2815778257384053;3;3;3;no;0.8111957827408
46;2;3;0.484515417211278;0.2784785342865037;14;3;3;no;0.8162623223650955
47;2;1;0.5303261741682509;0.09562521210023962;7;3;2;no;0.8116873997559987
48;2;1;0.3256884181612123;0.2501022852570911;7;5;2;no;0.8373168280787621
49;1;1;0.09856320284747777;0.26356427498310964;3;3;3;yes;0.835713395939351
50;1;1;0.3145903186753346;0.022658721582234302;4;3;3;no;0.819674324168176
51;2;1;0.5046012726953688;0.060707576533524876;4;7;2;no;0.8116841092557339
52;2;1;0.31334168063159284;0.19661900408679797;8;7;2;yes;0.8314317361814012
53;1;5;0.17018772911563973;0.007499265500359937;3;3;3;no;0.8308407034961977
54;1;3;0.29684506810447886;0.019755608265722122;7;7;3;yes;0.8278032673275423
55;2;1;0.7579187751704797;0.0570440538757367;6;3;2;yes;0.8438758574544564
56;2;5;0.4334130457287214;0.28545011942491466;2;5;2;no;0.8488982174538454
57;1;3;0.5475533510907568;0.16441587554961454;11;7;1;no;0.8159775990756195
58;2;3;0.5440302468277567;0.2019167270565062;6;7;3;yes;0.8443390084935276
59;2;5;0.037883997301277006;0.16701898240035729;7;7;3;no;0.8305210033945969
60;1;3;0.5236229886442249;0.2896619606590309;13;3;3;no;0.8328569534158685
61;2;5;0.10599230206791144;0.1219712694592206;11;3;1;no;0.8372417423025253
