Round No;Policy;Reward;Epsilon;Threshold Confidence;Threshold Correct Prediction;Max Length Cyclic;Max Length Acyclic;Single Relations;Measure
1;2;5;0.1;1.0E-4;2;3;1;no;0.8645383333333333
2;1;5;0.0895856169678545;0.18381569953936294;7;7;2;yes;0.8602265073975109
3;2;3;0.3949947928015004;0.18698434655092908;4;5;1;yes;0.7273285212349448
4;1;1;0.5785651804626699;0.19682955759498355;5;7;1;no;0.7618791722028306
5;1;5;0.6369005510039831;0.12597608971329877;3;3;1;no;0.7927000654426131
6;2;3;0.2452452100724838;0.01553968838592017;5;5;1;yes;0.7270652454130232
7;2;1;0.7789657773622423;0.19369366193913462;3;7;2;yes;0.7420689772978873
8;2;3;0.44662156094226535;0.019298348685539934;8;5;3;yes;0.8292985100417849
9;1;5;0.2777090206975089;0.23756220360977634;15;5;2;no;0.7106527157515279
10;2;1;0.8517246682625701;0.00304240167780332;13;5;1;no;0.8281858553830173
11;1;5;0.024329883669812813;0.13010426478869128;7;5;2;no;0.8590545259896962
12;1;3;0.7650098117208036;0.2920874120847007;6;7;1;no;0.8362907878810549
13;1;1;0.33493848861403697;0.016888460926370773;12;7;1;yes;0.7221766362122778
14;2;5;0.7832973568246985;0.23325692786447458;6;3;3;yes;0.8387908724107483
15;1;5;0.9538024209146218;0.20024183814182595;10;5;1;no;0.8536031772208323
16;2;3;0.2761960668860639;0.11378039382696853;9;5;1;no;0.7418754111629416
17;2;5;0.6938926741795318;0.12153778258810984;12;5;1;no;0.769062188789598
18;2;3;0.2759244434653204;0.19709289664565738;9;7;1;no;0.8539039092320909
19;1;3;0.7220089717123654;0.01277049799009981;3;3;3;no;0.7453309945434152
20;2;1;0.4858311595587417;0.11176487530878723;5;7;2;yes;0.7140125874265233
21;1;5;0.3539230828078418;0.08582777401709989;14;7;2;yes;0.8560179787773303
22;2;5;0.13587137449826459;0.18455164877365818;4;5;1;yes;0.7115522002187761
23;1;1;0.7780226613955569;0.18577537575261419;4;3;2;no;0.7534764847212316
24;2;1;0.9616080921566179;0.08511644663780582;4;7;1;yes;0.8115653846847698
25;1;3;0.9842170362776782;0.22955907671682957;5;3;2;no;0.7333494510572568
26;1;5;0.3103936276915312;0.25419167305034074;7;3;3;yes;0.8143548096962282
27;2;5;0.5893617990957017;0.13918563127525302;7;3;3;yes;0.796424649734553
28;1;1;0.19928197717115748;0.09379761606011464;1;7;2;no;0.7528581522542639
29;2;5;0.3627654218906454;0.16901874463564773;15;3;2;yes;0.7115948672746191
30;2;1;0.4945941323171644;0.22200459662131863;3;5;1;yes;0.8428741384671097
31;2;3;0.34769317823743384;0.16073454662251385;6;5;3;yes;0.8358607454198561
32;2;3;0.44919374828916336;0.27051004402875395;4;5;3;yes;0.8366823627116416
33;1;5;0.22002500295032212;0.18118708598864378;15;3;2;yes;0.8548096019792929
34;2;3;0.8323447531833554;0.1542496142714003;10;3;2;no;0.758063460818625
35;2;3;0.23683791306495494;0.032954568098884376;4;5;3;yes;0.8410252560298979
36;2;5;0.2960523192771207;0.16289722941755555;6;7;1;yes;0.8438650748609271
37;1;1;0.00976667483681104;0.15324172092953317;8;5;2;no;0.750582858227222
38;2;5;0.4342021652796062;0.047551274306347514;3;5;2;no;0.8558213927847838
39;1;1;0.7352784393359548;0.04370292559188851;10;5;3;no;0.7999111919269151
40;2;5;0.9653947380752961;0.054657933773582974;13;7;3;yes;0.8317324530856436
41;2;5;0.1618278818612502;0.11428080296119003;7;5;3;yes;0.7538420568372168
42;1;5;0.38153856086588567;0.037582579422303725;15;5;1;yes;0.783545622119244
43;1;5;0.8482165358953883;0.2728687970899063;9;5;1;yes;0.8519426565958057
44;2;1;0.29205763831930576;0.26463864707423496;5;5;2;no;0.8019712739894163
45;1;3;0.4349635168915543;0.0959072437119515;8;5;2;no;0.8290494296806544
46;1;3;0.11364592297286646;0.19521173124551644;9;5;2;no;0.850662633531347
47;2;3;0.11833422588208253;0.25190543719392955;10;3;3;yes;0.8056994029884539
48;1;1;0.029156883693048696;0.2824461232246896;3;5;2;yes;0.7670147844866537
49;1;1;0.08271654326373123;0.20209807744643438;9;3;3;yes;0.785022879575299
50;2;1;0.6033620485847921;0.14580723985211683;12;3;2;no;0.7658977947950029
51;1;3;0.7497604036858067;0.031440135388371246;15;7;1;yes;0.7436062084728422
52;2;5;0.700487266938219;0.06814819963683366;6;5;1;yes;0.8391560585898534
53;2;1;0.671206293453531;0.18709755756339783;8;5;2;no;0.779318632945033
54;1;3;0.5168056360343217;0.0835819400142124;6;5;3;no;0.7775408945256388
55;2;1;0.19634824163532028;0.16528188047721742;10;7;2;yes;0.8331879210532382
56;1;1;0.5049173655605371;0.022243191811275542;7;5;2;no;0.8086216541884066
57;2;1;0.5449582408286919;0.24262922365054324;6;5;3;yes;0.7688969977737535
58;1;1;0.6240963855359077;0.24861216906513348;10;7;1;no;0.8446560522456336
59;1;3;0.11321957888137979;0.2264003817625084;4;7;3;no;0.7580013883585479
60;2;3;0.868269195217098;0.21973496891270844;14;5;1;yes;0.7253213657802849
61;2;1;0.12537646822423043;0.2828809250130847;12;7;1;no;0.7101542617495196
62;1;5;0.08047552552421722;0.2890035290538084;2;5;3;yes;0.7710818857525207
63;1;5;0.6496338953448971;0.21199130130207136;3;5;2;yes;0.8616937791814342
64;1;5;0.10633633640231377;0.2992920301506153;3;5;3;yes;0.8379259120195341
65;1;1;0.44618607494869034;0.2869279344727996;13;7;2;yes;0.8033438152432043
66;2;5;0.8310311890469596;0.24501982810045247;8;5;3;yes;0.843667981926928
67;2;3;0.6715917815805095;0.07112105976701069;10;7;1;no;0.7498033282652156
68;2;1;0.3121077701741628;0.10505515359060341;4;7;3;no;0.761313485776851
69;1;5;0.5055493837947811;0.030752217759577735;2;5;3;no;0.8645383333333333
70;1;1;0.3072719815150885;0.2658762662815383;15;5;3;yes;0.7914968309324308
71;2;5;0.6441834530588493;0.19863987695377525;7;7;1;no;0.8179132279298496
72;2;5;0.010929651626463865;0.19460881276681638;5;7;2;no;0.8492684363783285
73;2;1;0.9015867336701695;0.04831172524666014;9;5;3;no;0.7174947382701184
74;2;3;0.7800810675504857;0.10287250459725793;7;7;2;yes;0.8493468462506774
75;1;1;0.5765451178534122;0.08406458811594375;9;5;2;no;0.7370920339884394
74;2;3;0.73092734288500537;0.03061105458355884;8;7;2;yes;0.8645383333333333
77;1;1;0.4147086645892841;0.2503406124910416;12;5;3;yes;0.8130603265981964
78;2;1;0.21112262242790159;0.21499511803310575;9;5;2;yes;0.7363614874587833
79;2;1;0.6363871333153086;0.08307268019228686;9;5;3;no;0.8242049142861585
80;2;3;0.4957584922602911;0.17881530242965177;5;7;2;yes;0.7731835817478231
81;1;5;0.7784932230153613;0.009131523038817955;9;3;1;yes;0.7953061113983917
82;1;1;0.2035609482598788;0.07518281853150109;7;7;1;no;0.7318021191729851
83;1;3;0.7764098320834347;0.09319602500495634;14;5;1;yes;0.7966590767334214
84;2;1;0.9881389556239443;0.08176201011403826;6;7;3;yes;0.8028275342877107
85;2;5;0.9648186852160525;0.172262804916829;11;7;1;yes;0.7756599676510154
86;2;3;0.6929920029808555;0.2763112044156048;7;7;3;no;0.8353779883659489
87;1;3;0.9815239768775381;0.1628770702802054;3;5;2;no;0.7724537583934034
88;2;3;0.7543325991908888;0.026248308753563442;8;7;2;no;0.8645383333333333
89;1;3;0.9497883932096735;0.017047500858885678;9;3;2;yes;0.7180161121590964
90;1;5;0.34077629455327196;0.10705685061464097;10;7;2;no;0.7579655326659016
91;2;3;0.5436450286139997;0.04564190012903881;4;7;1;yes;0.7390405165903695
92;2;1;0.5741041879027816;0.2910222080551838;10;7;2;yes;0.8343099120110431
93;2;5;0.24866100946277958;0.18342771485228462;6;5;2;yes;0.7148865976197414
94;2;3;0.1945004277954976;0.19718351349767846;3;3;3;yes;0.7885511488683472
95;1;1;0.09993105655644541;0.12766292388672704;3;3;3;no;0.7594628549596506
96;2;3;0.3048828279032145;0.028977401304518716;8;3;3;yes;0.7102835966397156
97;1;5;0.5825260396311606;0.2374459137068417;10;7;2;no;0.8203391017846949
98;1;5;0.0640846496208205;0.12180549516464312;4;3;2;yes;0.8494567977718628
99;2;5;0.0306868183488459;0.10826012243843113;10;7;1;no;0.8095357964058111
100;1;3;0.37525586595302884;0.22161803172571873;4;3;3;no;0.7217234798324405
101;2;1;0.4648413496468834;0.26408594621681797;4;5;2;no;0.7862191279766457
102;2;3;0.2270920632091914;0.0022756618879964654;6;5;1;no;0.7818358483555197
103;1;1;0.2047570450466285;0.09806258081004499;12;7;3;no;0.7139455771783266
104;1;5;0.650160018133449;0.20582968420911923;10;5;2;yes;0.7831986266755735
105;1;1;0.02817525833803758;0.10393898440356374;12;3;3;yes;0.8328759318217932
106;2;5;0.5230843953132592;0.24994712696638882;13;5;2;no;0.7115580872401766
107;2;3;0.9830840665564581;0.21966245726303135;12;3;1;yes;0.8375974234480043
108;2;5;0.24372842982496346;0.051169704711208075;8;7;3;no;0.8645383333333333
109;2;3;0.9749731974262101;0.24731502619440934;5;3;1;yes;0.8174108009261777
110;2;3;0.6244086329752307;0.1663195887150751;8;7;3;no;0.7549371775794163
111;2;3;0.8452066392644612;0.24961069282982762;7;5;3;no;0.828315254947585
112;2;5;0.09891552255180791;0.07625777945073732;3;5;2;no;0.8490197602593408
113;1;5;0.13089479773793444;0.2835775626050963;6;7;3;no;0.7463437623855887
114;1;3;0.2795873490118027;0.13980213699460156;13;7;2;no;0.780791487036286
115;1;1;0.9888278622502237;0.22919871506978237;11;5;2;yes;0.8576011486354068
116;2;3;0.17743630814219546;0.21150972896799652;2;3;2;no;0.7299036800354646
117;1;5;0.7052442958017335;0.17142873435369663;9;3;2;yes;0.7395503728720165
118;2;5;0.6155249872571891;0.1659555264370129;15;5;2;no;0.8235699630698795
119;2;1;0.7691819112683339;0.19451179475473884;6;5;3;yes;0.7390945580185265
120;2;1;0.9092204857501324;0.14393478338018686;13;3;2;yes;0.8338630267009988
