Round No;Policy;Reward;Epsilon;Threshold Confidence;Threshold Correct Prediction;Max Length Cyclic;Max Length Acyclic;Single Relations;Measure
1;2;5;0.1;1.0E-4;2;3;1;no;0.7777777777777778
2;1;3;0.9797205414729681;0.01600688014327203;11;7;1;yes;0.7777777777777778
3;2;5;0.53586689142791746;0.01504383480788592;9;7;2;no;0.7777777777777778
4;1;1;0.6062211970144988;0.04238041767199546;12;3;3;no;0.7777777777777778
5;1;5;0.0462416611109181;0.17276303202752552;2;5;2;yes;0.7777777777777778
6;2;1;0.8693799630808998;0.23607197362247861;14;5;3;yes;0.7777777777777778
7;1;3;0.8825432080252876;0.07496048977434944;3;5;2;no;0.7777777777777778
8;2;1;0.4087814763103166;0.016407315091557635;9;7;2;no;0.7777777777777778
9;2;1;0.4488562793025075;0.14586984842350162;10;5;1;yes;0.7777777777777778
10;1;1;0.15634694459895782;0.05473092287014351;14;5;3;yes;0.7777777777777778
11;1;3;0.22395049745329698;0.18717343405121303;8;5;2;yes;0.7777777777777778
12;1;1;0.02863212874130705;0.28780471364804994;12;7;2;yes;0.7777777777777778
13;1;5;0.6332814659891906;0.12602992906387128;2;5;3;no;0.7777777777777778
14;2;3;0.9925318495671923;0.2484214029207807;13;7;1;no;0.7777777777777778
15;2;5;0.9603982850569751;0.285338162295603;13;5;2;yes;0.7777777777777778
16;1;1;0.9473904766833325;0.21278752871417334;7;5;1;no;0.7777777777777778
17;1;3;0.32475730572263295;0.1458481280942528;4;5;3;no;0.7777777777777778
18;1;3;0.9235187937001302;0.014781120481202777;14;3;3;yes;0.7777777777777778
19;1;5;0.2259420558495654;0.24996403547188842;12;3;3;yes;0.7777777777777778
20;1;1;0.09711712818500284;0.1769289841146476;13;3;1;yes;0.7777777777777778
21;2;1;0.154289464230968;0.19747463094569617;6;5;1;no;0.7777777777777778
22;1;5;0.12160467928702678;0.10827872600610193;10;3;3;yes;0.7777777777777778
23;1;1;0.7679223755257754;0.08296557826459802;6;5;2;yes;0.7777777777777778
24;2;1;0.2753550504834751;0.11894029040626553;12;3;3;yes;0.7777777777777778
25;1;3;0.13618821443714524;0.12508903136267108;7;5;2;no;0.7777777777777778
26;2;1;0.9258382333174078;0.2015322805335729;12;5;3;yes;0.7777777777777778
27;2;5;0.549503970496835;0.13763532231088038;5;3;3;no;0.7777777777777778
28;1;3;0.8101685727397382;0.2293778198052966;15;3;1;yes;0.7777777777777778
29;2;3;0.3956074662025687;0.19236184696581324;13;3;3;yes;0.7777777777777778
30;1;3;0.6320591685411912;0.22149515211499618;8;5;2;yes;0.7777777777777778
31;1;5;0.6022147520462;0.22365406114652733;14;5;3;yes;0.7777777777777778
32;1;3;0.4751824819061542;0.22439780458343794;2;7;1;yes;0.7777777777777778
33;1;3;0.1460838594006717;0.22496361639580925;14;5;2;yes;0.7777777777777778
34;2;5;0.5329371247366812;0.26068946253466424;13;3;3;no;0.7777777777777778
35;1;1;0.128484814408223;0.287048686733135;13;3;1;yes;0.7777777777777778
36;2;1;0.6546210925169679;0.19445847399852395;13;7;3;no;0.7777777777777778
37;1;5;0.9170757862099742;0.028031412641043675;12;7;2;yes;0.7777777777777778
38;2;5;0.20801086702359384;0.2634469949151628;5;7;3;yes;0.7777777777777778
39;1;3;0.8541856302872107;0.2651774779306223;11;5;2;no;0.7777777777777778
40;2;3;0.7583472755006229;0.028069781746772576;12;3;3;no;0.7777777777777778
41;1;5;0.03150255124288259;0.17862290665498842;12;5;2;no;0.7777777777777778
42;1;1;0.06372717497698588;0.08713764267209687;1;5;1;no;0.7777777777777778
43;2;1;0.6311690563866759;0.016712907968096317;1;3;3;no;0.7777777777777778
44;2;5;0.8869015950254969;0.11050054065839558;11;5;3;yes;0.7777777777777778
45;2;1;0.3332832969812001;0.1932579455017404;1;5;3;no;0.7777777777777778
46;2;5;0.12348007819318352;0.2383753282949702;9;3;3;no;0.7777777777777778
47;2;1;0.28980637246620167;0.22659193515147036;11;5;3;yes;0.7777777777777778
48;1;5;0.7465412851581537;0.2975431300339477;7;7;3;yes;0.7777777777777778
49;1;3;0.16487617135550625;0.07034757350651735;8;3;2;yes;0.7777777777777778
50;1;1;0.06764979755777656;0.2843014187754164;11;5;2;yes;0.7777777777777778
51;1;3;0.7415273241235969;0.08607383045022655;4;3;2;no;0.7777777777777778
52;1;5;0.814279319653852;0.16423565939623258;2;7;2;no;0.7777777777777778
53;1;5;0.5948173649393769;0.10768059028529822;12;5;1;no;0.7777777777777778
54;1;3;0.5236419137563202;0.038775673444374395;14;5;3;yes;0.7777777777777778
55;2;5;0.331359273610469;0.14762545255933593;10;3;3;yes;0.7777777777777778
56;1;3;0.752923589780475;0.22855163335975812;2;5;1;yes;0.7777777777777778
57;2;3;0.8952601369677322;0.19492762777281084;11;3;3;yes;0.7777777777777778
58;1;3;0.605926271289427;0.2235846750460165;6;7;1;no;0.7777777777777778
59;2;1;0.440466175559154;0.15497406878072217;6;3;3;no;0.7777777777777778
60;2;5;0.07611577294336225;0.2501871757303337;12;3;2;yes;0.7777777777777778
61;2;1;0.2695139344874431;0.08111267025547789;14;5;1;yes;0.7777777777777778
62;1;5;0.7060762289398554;0.20474772616763212;2;7;3;yes;0.7777777777777778
63;1;3;0.338687705446548;0.24804765467127826;9;7;2;yes;0.7777777777777778
64;1;3;0.06337059246562537;0.004265651907631906;9;3;2;yes;0.7777777777777778
65;1;1;0.8295833811227765;0.017072115753706932;12;5;3;yes;0.7777777777777778
66;1;5;0.5328076010405045;0.003680300429452605;8;5;2;no;0.7777777777777778
67;1;5;0.2870782874751011;0.14298268586803412;10;7;2;yes;0.7777777777777778
68;1;1;0.9251147383670457;0.13003987733908742;7;7;2;no;0.7777777777777778
69;2;1;0.8237074483800655;0.2729513519323282;4;3;3;yes;0.7777777777777778
70;1;3;0.40201772167698746;0.28342497691122936;14;7;3;yes;0.7777777777777778
71;1;1;0.8904461261791008;0.18706945785207055;13;7;2;no;0.7777777777777778
72;1;1;0.21772600048451818;0.05469178238935314;12;7;1;no;0.7777777777777778
73;1;5;0.1138984071602519;0.13071879289678803;11;5;3;yes;0.7777777777777778
74;1;5;0.7768245871213023;0.009959853345364391;8;5;3;no;0.7777777777777778
75;2;5;0.6998923162620531;0.08877488000878653;7;3;2;yes;0.7777777777777778
76;2;5;0.5085722712073362;0.19198960961870065;7;7;1;no;0.7777777777777778
77;2;3;0.9034809469094924;0.25156740816649376;2;3;2;no;0.7777777777777778
78;2;3;0.057605838078019334;0.18830446936798986;9;7;1;yes;0.7777777777777778
79;2;3;0.06534991145586866;0.12268277080571667;11;7;1;no;0.7777777777777778
80;1;3;0.29105073075169985;0.01608257641737632;1;7;3;yes;0.7777777777777778
81;2;5;0.7146312090880877;0.0184838153484988;2;5;1;yes;0.7777777777777778
82;2;3;0.6220378648650483;0.17387325323859384;15;3;1;no;0.7777777777777778
83;2;3;0.23812298220417916;0.009511680909094312;13;3;3;yes;0.7777777777777778
84;2;5;0.14962675303845308;0.11016303875750688;8;7;3;yes;0.7777777777777778
85;1;3;0.6159158988705076;0.05364481134594733;2;3;3;no;0.7777777777777778
86;1;5;0.11513482691272936;0.058626429445402174;12;3;3;yes;0.7777777777777778
87;1;1;0.7234255876639768;0.2710501593053732;5;5;1;no;0.7777777777777778
88;1;3;0.17487306861584961;0.09026620970494749;1;7;3;yes;0.7777777777777778
89;2;3;0.6998313260649007;0.01097143597546372;11;7;3;no;0.7777777777777778
90;2;1;0.9892877802963417;0.1323184721303033;1;3;2;yes;0.7777777777777778
91;1;5;0.8829210196534447;0.060209609944285834;13;7;3;no;0.7777777777777778
92;1;3;0.6285087971971604;0.20394728964469205;12;3;2;no;0.7777777777777778
93;1;3;0.8103424199555727;0.04356050541069653;1;7;3;yes;0.7777777777777778
94;1;5;0.29430368978461396;0.11875400151873151;6;7;2;no;0.7777777777777778
95;2;3;0.7872606628948876;0.16590455115506575;2;7;2;no;0.7777777777777778
96;2;3;0.8584385137258925;0.0040561780874220745;10;5;1;yes;0.7777777777777778
97;2;5;0.520421867080043;0.24618368250500727;2;3;3;yes;0.7777777777777778
98;2;1;0.717444534020491;0.2869812261690937;15;3;3;no;0.7777777777777778
99;2;1;0.3186232166108208;0.09313042088221382;11;5;2;no;0.7777777777777778
100;1;1;0.4637913330674598;0.09740963742141254;5;5;2;yes;0.7777777777777778
101;2;1;0.35958910371978103;0.17278403035091147;7;5;2;no;0.7777777777777778
102;2;1;0.8734662803167415;0.23756288633974562;7;7;3;yes;0.7777777777777778
103;2;5;0.5232536665256097;0.01787890538981024;3;3;2;yes;0.7777777777777778
104;2;1;0.7099599388214992;0.06859098013298405;10;5;2;no;0.7777777777777778
105;1;5;0.29144944622668323;0.22891004460607275;13;5;1;no;0.7777777777777778
106;1;1;0.8446580419907886;0.1637646537715248;11;5;3;yes;0.7777777777777778
107;1;5;0.2140023947028492;0.11714071991118422;14;7;1;yes;0.7777777777777778
108;1;3;0.19363960095831623;0.0786272258531097;1;3;2;no;0.7777777777777778
109;1;3;0.441233090964389;0.1392472405792392;11;3;3;yes;0.7777777777777778
110;1;1;0.9708811351167048;0.08781107728982651;7;7;3;no;0.7777777777777778
111;2;1;0.8228642037010685;0.2738959261777279;8;5;1;no;0.7777777777777778
112;2;3;0.7578673908957158;0.13874380422356494;8;3;3;no;0.7777777777777778
113;2;5;0.07333420738185514;0.19005716991053967;1;5;2;no;0.7777777777777778
114;2;5;0.8896080793978492;0.07210900270303375;1;5;2;yes;0.7777777777777778
115;2;5;0.5035174040593678;0.15709171083346618;1;7;2;no;0.7777777777777778
116;2;1;0.6570610575744166;0.05909671864883362;8;7;1;yes;0.7777777777777778
117;1;3;0.8188500348122194;0.14669400095212112;7;5;3;no;0.7777777777777778
118;2;3;0.8259616772706042;0.20547851169929426;11;5;1;no;0.7777777777777778
119;1;1;0.48386287570602626;0.27658773202016657;1;3;2;yes;0.7777777777777778
120;2;1;0.9720582797877851;0.07248222010596196;5;7;1;no;0.7777777777777778
121;2;5;0.1531198637876663;0.0460585466239433;14;5;2;yes;0.7777777777777778
122;1;5;0.13275414143688413;0.0644013305694521;1;3;1;no;0.7777777777777778
123;2;5;0.6685631181912365;0.11319885979521442;5;3;3;yes;0.7777777777777778
124;1;1;0.2751555199055079;0.033094004422959546;9;7;2;no;0.7777777777777778
125;2;3;0.12326417009119339;0.1640798425593164;11;5;2;yes;0.7777777777777778
126;2;5;0.08052606220916125;0.049206775809123596;10;3;3;no;0.7777777777777778
127;1;5;0.4915813493486141;0.22360554283261977;5;5;2;no;0.7777777777777778
128;2;5;0.5451472985550672;0.19022787044295597;3;5;2;yes;0.7777777777777778
129;1;1;0.32572361842321873;0.15822417719579546;1;3;3;no;0.7777777777777778
130;2;1;0.8975855424935562;0.09534517401712725;2;5;3;no;0.7777777777777778
131;1;1;0.018720488472707908;0.2204015689567898;10;7;2;no;0.7777777777777778
132;2;3;0.332365040894833;0.2370438927165052;6;3;2;yes;0.7777777777777778
133;2;5;0.13379821880508913;0.0849416766260169;8;7;3;no;0.7777777777777778
134;1;5;0.060047232190089006;0.2595987918518623;15;3;3;yes;0.7777777777777778
135;2;1;0.3001623071345735;0.12702937596604388;8;5;2;yes;0.7777777777777778
136;1;3;0.17371637364728065;0.2342661310730346;9;3;2;yes;0.7777777777777778
137;2;5;0.17518624828930118;0.2921503056322974;13;7;3;no;0.7777777777777778
138;2;1;0.8318713812193828;0.18133025369463857;8;5;1;no;0.7777777777777778
139;2;5;0.9730064496121862;0.007772876984276348;4;3;2;yes;0.7777777777777778
140;2;5;0.25772397882266285;0.108929778727053;12;3;2;no;0.7777777777777778
141;1;3;0.05952345951707361;0.1867574681831679;7;5;2;no;0.7777777777777778
142;2;5;0.054902940978140524;0.11867849172195225;3;5;1;yes;0.7777777777777778
143;2;1;0.11380947194730551;0.27272773328777716;14;3;2;no;0.7777777777777778
144;2;1;0.3395647789935189;0.12809584726350345;8;3;1;yes;0.7777777777777778
145;2;1;0.35592203968147085;0.07707905093486642;6;3;3;no;0.7777777777777778
146;2;5;0.1889105503106231;0.25981215239331745;8;7;3;yes;0.7777777777777778
147;2;5;0.3411239890357586;0.25782916848139653;6;5;2;yes;0.7777777777777778
148;1;3;0.9061089474805387;0.24760335274066547;10;7;1;yes;0.7777777777777778
149;1;3;0.8205097222274285;0.09035594549938357;1;3;3;yes;0.7777777777777778
150;2;1;0.6016256891181901;0.10918052640764488;6;5;2;yes;0.7777777777777778
