Round No;Policy;Reward;Epsilon;Threshold Confidence;Threshold Correct Prediction;Max Length Cyclic;Max Length Acyclic;Single Relations;Measure
1;2;5;0.1;1.0E-4;2;3;1;no;0.8375
2;2;5;0.0655787026244799;0.0059176699154535;14;3;1;yes;0.8375
3;2;1;0.8990424246850179;0.005093127849685;5;5;1;no;0.8375
4;1;1;0.42935001270139006;0.21976573396635404;10;5;2;no;0.8375
5;1;1;0.21241488272414522;0.11787739056790486;12;5;2;yes;0.8375
6;1;1;0.3549307839833695;0.12856160815348688;13;3;1;yes;0.8375
7;1;5;0.3180169123364103;0.04713675844386632;1;3;2;yes;0.8375
8;1;5;0.7966584316135744;0.22288773676653154;1;7;1;no;0.8375
9;2;1;0.8522987379031942;0.1665772636844549;12;7;2;no;0.8375
10;2;3;0.6685395373218411;0.032635543458924055;9;7;3;yes;0.8375
11;2;5;0.8401050201570177;0.04611445335241392;9;7;3;no;0.8375
12;1;5;0.35522673091932966;0.21925002829900544;10;3;1;no;0.8375
13;2;3;0.6816047987932777;0.07756438589202644;2;7;1;no;0.8375
14;1;1;0.6161021652765761;0.2903658808025173;11;7;1;yes;0.8375
15;2;5;0.8083280620930036;0.07577362687289717;11;7;3;yes;0.8375
16;1;1;0.11826678757282671;0.22486013800274032;4;7;3;no;0.8375
17;2;1;0.21810823575147675;0.06522329535912637;12;3;3;yes;0.8375
18;1;5;0.09843623383110223;0.15851632721058487;1;7;3;no;0.8375
19;2;3;0.38893113480509645;0.10221208714558651;12;5;3;no;0.8375
20;1;5;0.6537427730442859;0.08023517169312143;10;7;1;yes;0.8375
21;2;3;0.07169007318268805;0.18258336203018938;9;3;1;yes;0.8375
22;2;5;0.16144360636603816;0.28876678998246175;9;7;1;yes;0.8375
23;2;5;0.4618472575411232;0.08500126606584742;4;5;2;yes;0.8375
24;2;3;0.32753533510202615;0.06004942681168496;10;5;3;yes;0.8375
25;2;3;0.2500013536265441;0.19974081503384025;10;3;3;yes;0.8375
26;1;5;0.3642746943590126;0.0749697402639047;2;3;2;yes;0.8375
27;2;1;0.0513614263268658;0.19309705759886905;9;5;3;no;0.8375
28;2;1;0.7966055598023868;0.057829557965590694;13;5;1;yes;0.8375
29;2;5;0.7141270075463999;0.15725824438750977;14;3;3;no;0.8375
30;2;3;0.39749229457736157;0.17523417161223387;9;3;3;no;0.8375
31;1;5;0.006774597376401514;0.1957780186357624;13;5;2;yes;0.8375
32;1;1;0.7521591160188729;0.04560720335285071;8;5;2;no;0.8375
33;2;5;0.18425011427380122;0.09459163958119533;9;5;1;no;0.8375
34;1;5;0.9512358770309501;0.009176930043243176;10;5;1;yes;0.8375
35;1;1;0.9330678828439911;0.12854119166259104;15;3;3;no;0.8375
36;1;1;0.9128101801791745;0.00858916594749971;10;3;1;no;0.8375
37;2;5;0.19531574944572883;0.1535048890469774;8;3;2;yes;0.8375
38;1;5;0.8333854892200951;0.13001165248044466;9;7;3;no;0.8375
39;2;3;0.37156648208035525;0.13402533914296455;9;3;3;yes;0.8375
40;2;3;0.267745707454183;0.2548150108685279;8;3;3;no;0.8375
41;1;5;0.4026953130042924;0.15650184779907544;9;5;3;no;0.8375
42;1;3;0.3377258876261948;0.17178515714966996;12;7;2;no;0.8375
43;1;5;0.23060386993398174;0.0779417505413715;7;5;2;yes;0.8375
44;1;3;0.5698892894397838;0.2998622756213473;3;5;1;yes;0.8375
45;1;3;0.13785030957874955;0.16022579443647095;8;3;1;no;0.8375
46;1;1;0.862110568619521;0.17150132615082309;12;7;3;yes;0.8375
47;2;1;0.4661857056556601;0.13997248788127117;4;7;3;no;0.8375
48;2;1;0.07906532848832482;0.2264690518210266;5;7;3;yes;0.8375
49;2;3;0.2139966392322965;0.18388651442866114;8;3;2;yes;0.8375
50;2;5;0.7766258626969459;0.16630251596837867;15;7;2;yes;0.8375
51;1;5;0.012654073353852713;0.2797061681823302;11;5;1;no;0.8375
52;2;3;0.5551631263584088;0.019224170847661214;8;7;2;yes;0.8375
53;1;3;0.9817685045039576;0.01268478170437789;2;3;1;no;0.8375
54;2;3;0.541755002642638;0.1656384467484339;15;5;2;yes;0.8375
55;2;1;0.9633513834486498;0.07756122913441153;14;5;2;yes;0.8375
56;2;1;0.5013007977760405;0.17421484591729938;9;7;3;yes;0.8375
57;2;1;0.634882604297828;0.27619439500024895;11;7;2;no;0.8375
58;1;3;0.07654209110591781;0.19843259269330982;5;7;2;yes;0.8375
