Round No;Policy;Reward;Epsilon;Threshold Confidence;Threshold Correct Prediction;Max Length Cyclic;Max Length Acyclic;Single Relations;Measure
1;2;5;0.1;0.0001;2;3;1;no;0.809210526315789
2;2;5;0.846739414194319;0.0729577031199667;13;5;1;yes;0.717105263157895
3;2;3;0.992861313563182;0.022133362450703;13;3;2;no;0.75
4;1;5;0.82719691257548;0.0090339781979012;7;5;1;yes;0.690789473684211
5;1;5;0.873795106811318;0.00988098516648713;2;3;1;no;0.703947368421053
6;2;5;0.430735886058872;0.000266408924870136;6;7;3;yes;0.756578947368421
7;2;1;0.181994589646648;0.00476335889756337;8;5;3;yes;0.730263157894737
8;1;5;0.343498466158584;0.0667736986395916;3;7;2;yes;0.75
9;2;1;0.736391799051717;0.0848709741559734;4;3;3;no;0.75
10;2;1;0.591298908738837;0.0421689582777328;12;3;3;no;0.677631578947368
11;1;3;0.362765772074163;0.0317011912518985;7;3;1;no;0.664473684210526
12;1;3;0.611904152630779;0.00170010963425089;7;7;2;yes;0.75
13;1;3;0.133391839085958;0.0604929530771448;13;5;2;no;0.756578947368421
14;2;3;0.400722391147893;0.0381320465476317;10;7;2;no;0.75
15;2;3;0.369669776658274;0.0439392567248808;11;7;1;no;0.677631578947368
16;2;3;0.221687841613361;0.291567661384081;12;7;2;no;0.526315789473684
17;1;1;0.348648323223094;0.0830848904765279;1;7;3;yes;0.710526315789474
18;1;5;0.0319522881826698;0.056498710843858;11;5;1;no;0.677631578947368
19;2;3;0.282833757010623;0.209721811433062;3;3;1;yes;0.684210526315789
20;2;5;0.883900195549105;0.256983166423457;12;3;3;no;0.671052631578947
21;1;5;0.309342368280928;0.170829491413723;6;5;3;yes;0.677631578947368
22;2;5;0.957922584620738;0.143261984280929;7;3;3;yes;0.723684210526316
23;1;1;0.392563137946112;0.129991649135211;7;7;1;no;0.723684210526316
24;2;1;0.920910765808541;0.242971485230073;2;5;3;no;0.657894736842105
25;2;1;0.585381895597741;0.195604501361375;4;7;1;no;0.723684210526316
26;2;3;0.349538417671813;0.0496070581459459;5;5;3;yes;0.763157894736842
27;2;3;0.88990514704309;0.0643573645345872;2;5;3;yes;0.677631578947368
28;2;1;0.731835847564647;0.0586332537978297;2;5;1;no;0.684210526315789
29;2;5;0.984231334493275;0.197681291457727;7;7;2;yes;0.677631578947368
30;2;5;0.833375572542382;0.0635642362910528;10;3;2;yes;0.763157894736842
31;1;1;0.825520830192281;0.277208724912411;5;3;3;yes;0.671052631578947
32;2;1;0.627783059573584;0.233096582988099;13;5;1;no;0.677631578947368
33;1;1;0.757142902307139;0.197813221503302;7;5;1;yes;0.730263157894737
34;1;1;0.184283766199871;0.191837578310784;6;7;1;yes;0.717105263157895
35;1;1;0.264435812814455;0.205079558504528;9;7;2;yes;0.710526315789474
36;2;1;0.136385168731571;0.221655127019646;9;5;1;yes;0.743421052631579
37;1;3;0.893706904341412;0.171284235184063;8;5;2;yes;0.717105263157895
